Player,Age,Team,Minutes,Offense Position,Offensive Archetype,Defensive Role,LEBRON WAR,LEBRON,O-LEBRON,D-LEBRON,Avg Speed Defense,Avg Speed Offense,Minutes Consistency,True Usage%,Years of Experience,Height,Weight,DHO Coverage Aggression,DHO Coverage Versatility,Defensive Positional Versatility,Foul Trouble%,Fouls Committed / 75,Fouls Drawn / 75,Guarded Ball Dominance%,Guarded O-LEBRON,Guarded Off-Ball%,Guarded USG%,Matchup Difficulty,Off-Ball Coverage Aggression,Off-Ball Coverage Versatility,Overall Coverage Versatility,Overall Coverage Aggression,P&R Coverage Aggression,P&R Coverage Versatility,Shot Location Versatility,Stable Avg 2PT Shot Distance,3PT Foul Rate%,3PT Openness Rating,3PT Pull Up Openness Rating,3PT Pull Up Shot Creation,3PT Pull Up Shot Making,3PT Pull Up Shot Making Efficiency,3PT Shooting Talent,3PT Shot Creation,3PT Shot Making,3PT Shot Making Efficiency,3PT Pull Up%,3PT Pull Up Talent,3PT Pull Up Shot Quality,3PT Shot Quality,3PT Versatility,3PT Versatility Rating,3PTA Rate%,Avg. 3PT Shot Distance,C&S 3PT Openness Rating,C&S 3PT Shooting Talent,Stable C&S 3PT%,Drive Foul Rate,Floater Talent,Midrange Talent,Post Up Shot Making,Total Iso Impact / 75,Cut FG%,Stable ATB 3PT%,Stable Avg 3PT Shot Distance,Stable Corner 3PT%,Stable NonHeave ATB 3PT%,Stable Pull Up 3PT%,Movement Attack Rate%,Off Screen Poss/ 75 Poss,Finishing Talent,Screening Talent,Playmaking Talent,Stable Bad Pass Turnovers Per 75,Stable Non Bad Pass Turnovers Per 75,Post Up Impact / 75 Poss,Contested OReb%,OReb Per Game,Putback Shot Making,% Rim Shots Contested%,Post Defense,Bad Pass Steals,Pickpocket Rating,Defensive Rebounding Talent,Defensive RAPTOR,Offensive RAPTOR,Multiple Teams
Jarace Walker,20,IND 2024,340,PF,Movement Shooter,Helper,0.43,-0.44,-0.76,0.31,3.99,4.61,98.59,21.97,7.00,82.00,230.00,96.77,43.03,77.80,0.00,2.99,1.24,14.16,-0.10,85.84,19.80,-0.40,98.64,38.75,107.33,43.32,111.67,44.00,23.69,12.18,0.00,0.89,0.00,0.00,0.06,-0.15,-0.10,-0.34,0.03,-0.08,41.18,-0.13,0.53,-0.14,38.38,-0.22,50.00,26.05,0.17,-0.23,38.19,0.00,-0.43,-0.41,0.00,0.13,50.00,36.41,26.29,37.40,36.90,35.64,40.64,6.96,0.06,-0.44,0.41,1.02,0.92,0.00,8.33,0.36,-0.43,51.30,-0.10,5.00,1.02,-0.27,-0.29,-0.73,No
Jared Butler,23,WAS 2024,566,SG,Shot Creator,Chaser,0.77,-0.29,-0.23,-0.06,3.99,4.23,98.59,20.04,4.00,82.00,240.00,99.54,55.64,62.90,1.41,3.66,2.71,20.21,-0.10,79.79,19.53,-0.70,99.67,42.00,107.32,48.29,117.63,61.11,61.06,439.36,1.68,0.24,0.09,-1.38,-0.02,-0.42,-0.26,0.82,-0.30,-1.04,32.43,0.23,-0.12,0.25,46.47,-0.40,38.81,27.40,0.51,-0.83,36.93,4.24,0.34,0.17,-0.01,0.58,85.71,38.60,25.34,41.17,38.46,31.95,53.26,7.07,-0.35,-0.89,1.13,1.31,1.55,0.00,33.33,0.23,0.90,31.30,-0.10,17.00,0.76,-0.93,-0.29,-0.73,No
Jared Rhoden,24,DET 2024,245,SG,Stationary Shooter,Helper,0.21,-1.11,-1.57,0.46,3.98,4.50,98.59,32.45,7.00,83.00,250.00,86.70,30.00,57.40,1.63,4.23,1.06,14.57,-0.10,85.43,18.74,-0.88,113.47,52.86,107.27,47.78,121.17,63.04,48.68,135.76,1.98,-0.13,-0.27,0.85,0.05,-0.24,-0.44,-0.92,-0.01,-0.25,40.00,-0.52,-0.06,1.35,24.17,-0.83,46.97,25.49,0.06,-0.40,38.04,0.00,-0.71,-0.16,1.30,0.00,100.00,32.10,28.02,37.32,33.43,32.10,6.92,0.53,0.36,0.88,-0.39,0.65,0.90,0.15,100.00,0.18,1.19,34.90,-0.10,1.00,0.30,-0.77,-0.29,-0.73,No
Jaren Jackson Jr.,24,MEM 2024,2124,C,Shot Creator,Mobile Big,4.23,0.71,-0.22,0.93,3.98,4.92,97.66,31.23,3.00,79.00,205.00,111.46,32.86,67.10,5.32,4.06,6.52,13.84,-0.10,86.16,19.86,-0.58,91.18,29.94,107.19,45.69,106.29,53.23,22.75,171.91,0.00,0.87,0.41,-1.33,-0.45,-1.22,-0.63,-0.56,-0.52,-0.88,22.58,-0.74,-1.85,-0.80,38.04,-0.63,31.52,26.34,0.22,-0.07,35.78,11.71,2.23,2.21,0.42,0.19,75.86,36.70,25.76,39.72,36.56,32.60,11.98,1.23,-1.08,0.97,-0.83,0.46,2.17,0.09,51.76,1.29,0.25,43.30,-0.10,52.00,0.48,-0.97,-0.29,-0.73,No
Jarred Vanderbilt,24,LAL 2024,581,PF,Athletic Finisher,Wing Stopper,0.45,-1.23,-2.25,1.02,3.98,4.55,97.32,29.66,4.00,79.00,245.00,96.64,39.39,78.80,0.86,2.64,2.46,21.66,-0.10,78.34,23.56,1.96,103.58,40.00,107.17,39.74,109.62,37.50,54.20,46.63,1.96,0.10,0.14,-0.59,0.00,0.00,-0.99,-1.08,-0.23,-0.79,0.00,0.00,0.00,2.18,12.50,-1.53,23.68,25.19,0.92,-1.11,37.34,5.26,-1.05,-0.92,0.00,0.00,66.67,35.00,27.99,39.00,36.00,33.00,31.37,0.07,-0.43,0.21,-0.25,0.49,1.28,0.00,48.78,1.41,-0.19,35.20,-0.10,30.00,0.37,1.24,-0.29,-0.73,No
Jarrett Allen,25,CLE 2024,2442,C,Roll + Cut Big,Anchor Big,7.48,2.44,1.04,1.40,3.98,4.22,102.63,23.69,5.00,84.00,255.00,91.95,38.48,54.30,1.47,2.24,5.00,13.70,-0.10,86.30,20.68,0.20,94.36,35.33,107.14,41.81,109.24,43.65,34.98,48.28,1.82,0.41,-0.12,-1.02,-0.11,-0.60,-1.04,-0.96,-0.14,-0.66,0.00,-0.73,0.08,0.01,20.83,-1.16,0.73,25.10,0.28,-1.36,37.42,10.00,-0.55,-0.17,0.38,0.04,65.58,35.87,29.98,39.00,36.00,34.00,0.00,0.00,-0.15,1.29,0.17,0.72,1.14,-0.05,65.43,3.16,0.28,49.30,-0.10,40.00,0.20,1.42,-0.29,-0.73,No
Jason Preston,24,UTA 2024,71,PG,Low Minute,Low Minute,0.11,0.05,-0.16,0.22,3.98,4.53,101.71,25.17,2.00,76.00,210.00,122.43,30.67,52.60,0.00,1.53,0.00,21.89,-0.10,78.11,19.57,-0.44,107.98,36.00,107.09,50.20,105.72,54.17,65.60,437.59,0.00,-0.23,-0.01,0.79,-0.02,-0.49,-0.78,-0.74,-0.06,-0.46,0.00,-0.61,-0.23,0.07,37.50,-0.44,15.79,25.23,0.02,-1.22,37.71,0.00,-0.15,-0.21,0.00,-0.41,100.00,35.42,26.32,40.92,35.40,32.57,15.13,1.60,-0.87,-1.50,-0.11,0.65,1.11,0.00,33.33,0.86,0.23,27.80,-0.10,2.00,0.00,-1.45,-0.29,-0.73,No
JaVale McGee,36,SAC 2024,339,C,Roll + Cut Big,Mobile Big,0.49,-0.14,-1.29,1.15,3.98,4.73,99.72,45.18,2.00,78.00,205.00,122.26,33.33,60.90,1.47,4.85,4.11,11.41,-0.10,88.59,18.16,-1.28,91.11,30.50,107.03,49.82,112.16,65.65,75.09,631.72,0.00,0.09,-0.12,-0.62,-0.02,-0.48,-0.89,-0.92,-0.06,-0.55,0.00,-0.61,-0.46,0.09,16.07,-1.28,5.30,26.70,0.11,-1.21,37.52,0.00,-0.42,-0.53,0.50,-0.05,74.19,39.01,26.17,40.62,38.82,36.40,15.48,2.31,0.60,-0.30,-0.05,0.73,2.07,-0.71,73.81,0.91,-0.10,43.40,-0.10,8.00,0.64,-0.19,-0.29,-0.73,No
Javon Freeman-Liberty,24,TOR 2024,403,PG,Athletic Finisher,Point of Attack,0.06,-2.24,-1.69,-0.54,3.98,4.73,98.59,39.79,3.00,73.00,190.00,113.45,40.00,64.56,0.00,2.51,2.78,20.75,-0.10,79.25,19.72,-0.44,99.67,38.67,107.02,44.50,112.09,49.32,57.30,1250.47,1.89,-0.46,-0.26,0.31,-0.37,-1.22,-0.70,-0.01,-0.42,-1.16,8.33,-0.52,-0.46,0.27,41.77,-0.63,33.87,25.91,-0.20,-0.81,37.30,8.82,-0.16,-0.21,0.00,-0.15,54.55,38.18,26.26,41.91,38.66,33.13,19.80,2.18,-0.01,-0.57,-0.11,0.79,1.35,0.00,56.25,0.73,0.35,42.50,-0.10,6.00,0.36,0.29,-0.29,-0.73,No
Javonte Smart,24,PHI 2024,1,PG,Low Minute,Low Minute,0.00,-0.93,-0.30,-0.64,3.98,4.60,98.59,20.14,4.00,76.00,230.00,116.35,32.75,87.52,0.00,0.00,0.00,30.40,-0.10,69.60,21.20,-0.03,102.52,40.00,107.00,45.20,114.95,52.56,45.30,50.47,0.00,0.21,0.05,-0.79,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25.54,0.00,0.00,38.00,0.00,0.00,0.00,0.00,0.00,0.00,34.38,42.53,38.41,34.43,33.78,12.35,0.19,-0.67,0.31,-0.11,0.71,1.24,0.00,0.00,0.00,0.00,36.40,-0.10,21.00,0.00,-2.00,-0.29,-0.73,No
Jaxson Hayes,23,LAL 2024,877,C,Roll + Cut Big,Mobile Big,0.16,-2.17,-2.64,0.47,3.98,4.21,98.59,23.07,13.00,81.00,254.00,87.20,32.63,62.57,4.67,5.03,3.23,12.96,-0.10,87.04,19.99,-0.65,92.41,32.45,106.97,43.08,124.36,44.31,71.60,208.58,0.00,-0.05,0.25,-0.01,-0.04,-0.48,-1.00,-0.95,-0.12,-0.76,0.00,-0.63,-0.46,0.42,16.07,-1.39,4.57,30.84,0.28,-1.35,37.14,7.69,-0.70,-0.75,-0.96,0.00,78.85,38.49,25.90,38.28,38.41,34.94,5.03,0.04,-1.15,-0.53,-0.64,0.35,1.42,0.00,60.87,0.99,0.31,36.00,-0.10,29.00,0.20,-0.69,-0.29,-0.73,No
Jay Huff,25,DEN 2024,49,C,Low Minute,Low Minute,0.03,-1.54,-1.07,-0.47,3.97,4.60,98.59,30.61,8.00,83.00,250.00,88.10,38.18,71.60,0.00,6.11,0.68,10.76,-0.10,89.24,17.11,-0.65,85.37,22.22,106.96,46.36,120.18,54.41,58.11,346.01,0.53,-0.40,-0.21,0.38,0.00,0.00,-0.40,-1.02,-0.01,-0.30,0.00,0.00,0.00,0.03,12.50,-1.29,60.00,26.08,0.24,-0.47,37.84,0.00,0.00,-0.74,0.00,0.00,100.00,38.38,25.25,39.75,38.25,33.72,16.54,0.63,-1.24,1.21,-0.26,0.52,1.16,0.00,100.00,0.10,0.00,33.30,-0.10,2.00,0.00,-1.65,-0.29,-0.73,No
Jaylen Brown,27,BOS 2024,2343,SF,Shot Creator,Wing Stopper,4.96,0.91,1.04,-0.13,3.97,4.45,98.59,19.83,2.00,78.00,231.00,79.06,20.00,75.10,3.42,2.89,3.77,19.30,-0.10,80.70,21.85,1.07,113.30,56.48,106.93,49.55,113.46,62.64,37.39,74.80,0.00,-0.06,0.00,0.00,0.36,0.15,0.31,1.07,0.01,-0.20,35.12,0.81,-0.33,-0.66,53.66,0.29,32.64,25.91,-0.52,-0.32,36.74,6.03,0.06,1.12,0.43,0.08,65.45,35.38,48.15,36.25,35.76,31.42,12.37,0.53,-1.49,1.16,0.58,0.66,1.85,0.13,57.14,1.20,0.20,35.90,-0.10,48.00,0.55,0.21,-0.29,-0.73,No
Jaylen Nowell,24,DET 2024,214,SG,Secondary Ball Handler,Point of Attack,0.14,-1.40,-1.05,-0.34,3.97,4.48,98.59,19.56,13.00,76.00,207.00,113.95,29.41,70.70,1.40,2.58,1.38,19.32,-0.10,80.68,20.60,-0.26,101.00,43.64,106.89,29.17,115.95,16.67,23.08,0.38,0.00,0.13,0.00,0.00,-0.20,-0.89,-0.54,0.13,-0.42,-1.20,12.50,-0.41,0.47,0.76,45.83,-0.50,37.18,52.59,0.14,-0.74,36.94,2.38,0.63,0.50,0.00,0.00,100.00,35.03,26.12,36.22,35.12,32.83,19.37,0.74,-1.06,0.57,-0.43,0.60,1.02,0.00,16.67,0.46,-0.14,45.10,-0.10,2.00,0.34,-0.08,-0.29,-0.73,No
Jaylin Williams,21,OKC 2024,897,C,Low Minute,Mobile Big,1.65,0.48,-0.46,0.93,3.97,4.88,84.57,31.11,1.00,76.00,200.00,108.31,36.00,72.90,1.45,4.01,2.25,14.08,-0.10,85.92,20.76,0.25,95.52,35.10,106.89,48.60,111.58,62.57,40.51,287.43,0.00,0.59,-0.05,-0.99,-0.12,-0.79,-0.42,-0.94,-0.17,-0.70,0.00,-0.70,0.26,1.38,17.47,-1.30,63.16,25.22,0.86,0.30,37.89,10.00,-0.91,-1.04,0.00,0.00,0.00,35.04,27.70,38.91,35.03,33.99,0.00,0.00,0.67,-0.41,0.00,0.59,0.93,0.00,52.78,0.52,0.00,36.40,-0.10,22.00,0.25,0.33,-0.29,-0.73,No
Jayson Tatum,25,BOS 2024,2645,PF,Shot Creator,Helper,10.08,3.66,3.35,0.31,3.97,4.46,98.59,26.80,16.00,78.00,215.00,114.49,33.75,84.50,0.26,2.03,4.77,15.93,-0.10,84.07,20.31,-0.17,104.50,46.02,106.85,42.51,117.54,45.90,64.82,1240.73,2.54,-0.18,-0.06,-0.14,0.97,0.47,2.02,2.83,1.10,0.76,34.86,2.35,-0.71,-1.57,56.37,0.87,42.71,26.32,-0.43,0.42,39.95,12.80,-0.08,0.26,0.49,0.68,66.67,34.10,27.87,38.57,34.19,33.56,11.25,0.13,-0.39,-1.21,0.69,0.85,1.72,0.27,40.30,0.91,-0.21,36.10,-0.10,51.00,0.34,1.44,-0.29,-0.73,No
JD Davison,21,BOS 2024,39,SG,Low Minute,Low Minute,0.03,-1.20,-0.27,-0.94,3.97,4.60,98.59,25.00,2.00,74.00,185.00,108.31,36.00,54.20,0.00,3.53,2.65,20.56,-0.10,79.44,19.51,-0.37,114.21,30.00,106.84,43.55,108.01,45.76,49.42,47.10,0.00,-0.08,0.08,-1.27,0.01,-0.31,-0.13,0.21,0.00,-0.23,50.00,-0.20,1.07,0.82,37.50,-0.32,58.33,26.40,0.15,-1.02,37.95,6.25,-0.60,-0.48,0.00,0.00,0.00,35.00,27.26,38.00,35.00,31.00,0.00,0.00,-0.70,1.39,-0.11,0.96,1.10,0.00,0.00,0.25,0.00,58.80,-0.10,1.00,0.00,-1.59,-0.29,-0.73,No
Jeff Dowtin Jr.,26,PHI 2024,142,PG,Shot Creator,Point of Attack,0.15,-0.75,-0.37,-0.37,3.97,4.95,99.84,39.31,9.00,75.00,200.00,115.83,33.33,58.70,0.00,0.27,1.59,20.18,-0.10,79.82,19.84,-0.41,103.83,48.00,106.83,45.43,109.31,45.53,57.89,963.18,0.99,-0.27,-0.03,0.51,0.00,-0.40,0.07,0.84,0.09,0.05,38.46,0.17,1.56,0.72,51.97,0.35,52.78,26.23,0.26,-0.91,38.56,0.00,-0.52,-0.55,0.00,-0.94,100.00,35.44,26.95,37.67,35.31,32.01,2.68,0.09,-0.55,0.12,-0.11,0.36,1.27,0.00,33.33,0.25,0.79,29.80,-0.10,3.00,1.06,-1.07,-0.29,-0.73,No
Jeff Green,37,HOU 2024,1307,PF,Stretch Big,Helper,0.63,-1.69,-1.04,-0.65,3.97,4.62,100.83,27.02,3.00,83.00,255.00,89.90,36.08,51.20,0.08,2.81,2.89,15.11,-0.10,84.89,20.33,-0.29,111.60,54.49,106.80,46.06,110.94,52.02,45.67,100.20,0.00,0.41,0.45,-0.67,-0.01,-0.34,-0.59,-0.80,-0.21,-0.76,31.25,-0.48,-0.92,0.11,25.08,-1.05,43.72,25.59,0.02,-0.33,36.43,23.36,-0.01,-0.34,0.28,-0.03,69.70,36.05,25.63,38.63,36.11,31.61,6.44,0.72,1.22,-1.11,-0.34,0.22,1.15,-0.01,47.83,0.59,0.41,32.30,-0.10,12.00,0.11,-1.03,-0.29,-0.73,No
Jerami Grant,29,POR 2024,1830,PF,Shot Creator,Wing Stopper,0.55,-1.98,-0.36,-1.62,3.97,4.64,102.70,47.55,5.00,76.00,194.00,117.17,50.77,38.70,0.55,2.38,4.31,16.80,-0.10,83.20,21.30,0.61,105.66,48.75,106.72,46.54,108.09,47.93,30.55,178.20,0.00,1.00,0.00,0.00,-0.49,-1.34,0.49,-0.76,0.74,0.75,6.67,-0.89,-0.88,-0.53,30.99,-0.08,32.47,24.92,-0.50,1.67,40.15,9.35,0.04,0.93,0.53,-0.64,63.64,35.52,25.78,36.98,35.71,33.34,10.48,0.39,1.66,-2.92,-0.44,0.71,1.59,0.02,48.65,0.69,0.58,40.10,-0.10,19.00,0.53,-1.12,-0.29,-0.73,No
Jeremiah Robinson-Earl,23,NOP 2024,334,PF,Athletic Finisher,Mobile Big,0.06,-2.15,-1.74,-0.41,3.97,4.91,86.67,25.99,1.00,82.00,240.00,92.28,25.71,41.70,0.00,2.59,1.51,13.46,-0.10,86.54,19.27,-0.71,104.09,40.76,106.70,41.54,108.66,31.77,59.13,71.12,0.00,0.19,-0.01,-0.74,-0.03,-0.51,-0.58,-1.04,-0.10,-0.67,0.00,-0.69,0.10,1.39,18.27,-1.26,41.05,24.46,0.21,-0.33,37.52,8.70,-0.70,-0.73,1.15,0.00,69.23,35.48,27.24,38.70,35.43,32.00,0.00,0.00,0.00,0.14,-0.17,0.52,1.27,0.00,69.57,0.59,0.50,44.60,-0.10,7.00,0.32,-0.78,-0.29,-0.73,No
Jeremy Sochan,20,SAS 2024,2193,PF,Athletic Finisher,Wing Stopper,0.24,-2.29,-2.05,-0.24,3.97,4.56,98.59,20.42,9.00,77.00,209.00,114.79,33.33,76.95,1.73,2.76,2.15,21.33,-0.10,78.67,24.44,3.12,106.03,44.00,106.64,29.65,128.18,27.78,32.23,47.94,0.00,0.22,0.17,-0.11,-0.45,-1.36,-1.32,-0.47,-0.96,-1.97,19.51,-0.77,1.09,1.41,33.13,-1.36,29.25,25.48,0.63,-1.18,35.73,3.28,-0.41,-1.14,-0.03,-0.16,61.00,38.58,25.84,40.24,38.45,35.50,15.47,1.90,0.12,0.24,0.11,0.71,1.55,-0.27,50.36,1.85,0.07,37.00,-0.10,46.00,0.26,1.02,-0.29,-0.73,No
Jericho Sims,25,NYK 2024,585,C,Roll + Cut Big,Anchor Big,-0.08,-2.70,-3.32,0.62,3.96,4.35,98.59,27.09,3.00,80.00,225.00,102.73,52.48,77.00,0.86,3.02,1.75,12.17,-0.10,87.83,18.70,-0.78,90.33,27.77,106.61,44.63,108.59,46.00,40.87,38.81,0.74,-0.21,-0.19,-0.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25.54,0.00,0.00,38.00,0.00,-0.91,-1.01,1.75,0.00,73.33,38.94,26.05,39.33,38.86,33.63,14.07,1.84,0.61,-2.86,-0.63,0.36,0.97,0.00,66.07,1.24,0.19,45.30,-0.10,7.00,0.07,-1.13,-0.29,-0.73,No
Jermaine Samuels Jr.,25,HOU 2024,60,SF,Low Minute,Low Minute,0.05,-1.04,-0.70,-0.33,3.96,4.38,98.59,27.56,1.00,80.00,215.00,110.64,36.90,84.80,0.00,2.77,1.67,11.69,-0.10,88.31,16.87,-0.85,109.76,48.57,106.61,40.07,115.40,42.22,48.17,575.69,3.12,-0.58,-0.27,2.70,0.00,0.00,-0.88,-1.22,-0.02,-0.38,0.00,0.00,0.00,-0.16,12.50,-1.33,14.29,22.55,-0.07,-1.18,37.71,0.00,0.00,-0.52,0.00,0.00,100.00,34.87,30.06,38.00,34.88,32.89,0.00,0.00,0.00,0.10,0.11,0.49,1.03,0.00,0.00,0.21,0.79,36.00,-0.10,1.00,0.00,-1.51,-0.29,-0.73,No
Jerome Robinson,26,GSW 2024,81,SG,Low Minute,Low Minute,0.10,-0.43,-0.58,0.15,3.96,5.00,98.59,23.52,5.00,82.00,231.00,82.36,26.67,64.60,0.00,2.15,3.02,14.36,-0.10,85.64,17.77,-0.70,105.56,43.33,106.61,40.76,105.46,38.54,49.74,27.39,7.55,-0.08,-0.01,-1.29,-0.02,-0.62,-0.32,-1.00,-0.09,-1.06,0.00,-0.64,0.35,0.51,37.50,-0.74,51.52,25.73,0.12,-0.19,36.65,6.25,-0.62,-0.68,0.00,0.00,66.67,34.70,27.53,39.03,34.73,32.90,6.38,0.61,-0.71,-0.58,-0.06,0.44,1.16,0.00,100.00,0.05,0.00,42.90,-0.10,21.00,0.44,-1.70,-0.29,-0.73,No
Jett Howard,20,ORL 2024,67,SF,Low Minute,Low Minute,0.09,-0.36,-0.23,-0.14,3.96,4.33,98.59,21.03,7.00,78.00,242.00,111.82,39.43,90.60,0.00,2.06,1.55,11.74,-0.10,88.26,17.51,-0.66,103.83,44.00,106.58,45.31,107.19,46.19,53.38,259.94,1.60,-0.05,-0.01,-0.41,-0.04,-0.80,0.50,0.43,-0.04,-0.53,18.18,0.13,0.45,-0.22,53.12,0.10,83.33,26.74,-0.08,-0.15,37.88,0.00,0.00,-0.78,0.00,2.14,100.00,32.65,26.82,38.34,33.62,33.22,18.21,0.02,0.37,1.11,-0.30,0.82,1.11,0.00,100.00,0.06,-1.21,33.30,-0.10,21.00,1.03,-1.55,-0.29,-0.73,No
Jevon Carter,28,CHI 2024,1004,PG,Movement Shooter,Point of Attack,0.97,-0.92,-0.46,-0.46,3.96,4.89,102.18,42.06,7.00,76.00,194.00,109.82,36.77,66.80,0.30,2.64,0.48,20.82,-0.10,79.18,19.87,-0.63,99.79,43.89,106.55,42.70,125.11,53.03,61.54,55.88,3.85,0.37,0.00,-0.38,-0.43,-1.62,-0.10,0.01,-0.41,-1.18,27.06,-0.28,1.66,0.61,54.27,-0.18,64.11,25.30,0.29,0.18,37.23,1.10,-0.03,-0.28,0.00,-0.13,100.00,34.74,27.04,37.79,34.77,31.00,0.00,0.00,-0.68,-0.78,-0.24,0.58,0.89,0.00,9.09,0.15,-0.84,34.30,-0.10,21.00,0.59,-1.74,-0.29,-0.73,No
Jimmy Butler,34,MIA 2024,2042,PF,Shot Creator,Wing Stopper,6.53,2.65,2.07,0.58,3.96,4.70,98.59,15.68,14.00,78.00,215.00,116.99,38.95,81.00,0.00,1.25,5.76,18.22,-0.10,81.78,21.73,0.77,99.66,40.29,106.50,48.32,106.80,52.44,45.72,376.59,0.54,0.11,0.14,-0.76,0.37,0.35,0.09,0.20,0.46,0.69,39.58,0.26,-0.78,-1.10,46.73,0.48,18.28,24.68,-0.24,-0.20,38.65,10.26,0.29,-0.03,0.20,0.42,72.00,35.00,27.99,39.00,36.00,33.00,0.00,0.00,0.00,0.09,0.06,0.70,1.19,-0.31,53.33,1.75,0.50,30.40,-0.10,38.00,0.76,-0.24,-0.29,-0.73,No
Jock Landale,28,HOU 2024,764,C,Roll + Cut Big,Mobile Big,0.87,-0.63,-0.63,0.00,3.96,4.34,99.50,20.81,6.00,81.00,255.00,95.62,42.28,40.50,0.13,3.49,2.78,12.07,-0.10,87.93,18.95,-1.39,93.59,32.05,106.42,45.04,116.51,46.30,39.11,37.41,0.00,0.61,0.35,-0.96,-0.06,-0.54,-0.98,-1.06,-0.25,-1.14,0.00,-0.72,0.54,0.86,14.38,-1.64,19.42,25.79,0.66,-1.02,36.39,18.18,-0.76,-0.65,0.30,0.00,65.38,34.84,27.58,39.00,34.85,33.00,0.00,0.00,-0.79,-0.53,-0.14,0.35,1.20,-0.08,56.82,1.57,0.12,43.30,-0.10,18.00,0.09,-1.87,-0.29,-0.73,No
Joe Harris,32,DET 2024,170,SG,Movement Shooter,Helper,0.08,-1.69,-1.44,-0.26,3.96,4.85,91.42,34.42,4.00,74.00,195.00,129.19,26.67,48.10,0.00,4.05,0.85,12.20,-0.10,87.80,17.28,-1.18,112.13,61.60,106.36,40.85,115.91,33.84,69.90,142.89,1.43,0.02,-0.24,-1.43,-0.05,-0.58,-0.26,-1.02,-0.04,-0.35,0.00,-0.69,-0.26,-0.07,33.59,-0.53,76.92,25.25,-0.22,0.02,37.78,0.00,-0.57,-0.73,0.00,0.00,100.00,38.56,25.48,40.15,38.56,35.59,6.72,0.98,0.54,-1.02,-0.44,0.68,0.88,0.00,33.33,0.19,-0.21,43.60,-0.10,3.00,0.00,-1.44,-0.29,-0.73,No
Joe Ingles,36,ORL 2024,1169,SF,Secondary Ball Handler,Low Activity,1.25,-0.76,-0.93,0.17,3.96,5.20,101.56,52.84,13.00,74.00,185.00,103.56,36.00,36.60,0.26,2.83,1.00,12.48,-0.10,87.52,17.68,-2.05,98.34,40.88,106.33,45.53,107.94,38.89,54.78,21.61,0.00,-0.01,0.09,-0.17,-0.34,-1.33,0.41,0.10,0.54,1.21,22.00,-0.36,-0.36,-0.60,46.34,0.72,70.93,25.85,0.18,0.69,42.45,2.49,-0.59,-0.69,0.00,0.04,100.00,34.69,26.15,39.70,34.81,34.00,8.11,0.11,-0.53,0.07,0.41,1.13,1.02,0.00,55.56,0.26,-0.32,34.90,-0.10,32.00,0.36,-0.02,-0.29,-0.73,No
Joel Embiid,29,PHI 2024,1309,C,Shot Creator,Mobile Big,6.50,5.65,4.78,0.87,3.95,4.92,98.59,16.00,1.00,76.00,190.00,118.60,20.00,59.20,7.18,3.09,8.14,12.58,-0.10,87.42,19.25,-1.04,91.24,29.29,106.26,47.99,111.39,63.69,50.54,74.85,0.00,0.49,-0.04,-1.35,-0.84,-1.61,0.88,0.43,1.08,1.35,18.33,-0.93,-2.36,-2.76,54.40,1.09,16.33,27.05,-0.32,1.02,41.48,18.18,0.06,3.72,0.71,0.66,50.00,35.18,25.69,35.40,35.32,31.59,7.04,0.93,1.18,-0.93,0.52,0.82,2.92,0.95,67.37,2.44,0.48,42.10,-0.10,30.00,0.44,0.63,-0.29,-0.73,No
John Collins,26,UTA 2024,1901,PF,Stretch Big,Mobile Big,3.37,0.37,0.23,0.15,3.95,4.48,101.35,30.58,8.00,83.00,254.00,91.10,36.79,55.90,4.16,3.64,3.12,14.86,-0.10,85.14,20.37,-0.03,96.06,32.21,106.22,43.84,112.63,60.00,49.17,56.48,0.00,0.48,0.12,-1.32,-0.08,-0.52,-0.69,-1.04,-0.27,-0.66,16.67,-0.81,0.16,1.45,17.46,-1.28,31.10,24.51,0.26,-0.24,37.82,10.00,-0.26,-0.77,0.25,-0.28,69.44,33.04,46.93,37.01,33.33,30.20,0.00,0.00,-0.75,-0.38,-0.76,0.48,1.39,-0.08,62.42,2.31,0.58,42.70,-0.10,25.00,0.28,1.29,-0.29,-0.73,No
John Konchar,27,MEM 2024,1173,SF,Athletic Finisher,Helper,1.33,-0.65,-2.50,1.85,3.95,4.69,103.11,27.85,7.00,80.00,225.00,111.04,40.00,76.00,0.34,2.41,1.17,18.11,-0.10,81.89,20.39,-0.34,104.43,43.48,106.14,43.96,109.50,52.94,59.19,168.92,1.22,0.50,0.40,-0.44,-0.41,-1.45,-0.96,-0.82,-0.53,-1.42,0.00,-0.90,0.12,1.50,31.35,-1.15,57.69,24.57,0.17,-0.62,37.17,5.06,-0.95,-1.06,0.00,0.04,70.00,35.59,25.27,36.75,35.63,33.77,11.56,0.11,-0.79,0.56,-1.08,0.70,0.86,0.00,43.06,1.31,-0.25,43.60,-0.10,25.00,0.82,1.46,-0.29,-0.73,No
